frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
88,1921072,0.041826,2.350434,2.844609,3.168226,8.363269
89,1928784,0.037586,2.131010,2.881894,2.485472,7.498376
90,1935440,0.039357,1.927805,2.303285,4.020155,8.251245
91,1941328,0.036546,2.055869,3.009402,3.086968,8.152239
92,1944000,0.049053,2.452013,2.812630,3.433683,8.698326
93,1945520,0.036656,2.127070,2.562712,2.911426,7.601208
94,1945888,0.033448,2.228665,2.707315,3.210697,8.146677
95,1946736,0.039234,2.254920,2.938259,3.070050,8.263229
96,1948160,0.029576,1.969079,2.338021,2.843922,7.151022
97,1951216,0.089237,2.057744,2.933464,3.249625,8.240833
98,1955744,0.029754,2.218721,2.843826,2.569954,7.632501
99,1959872,0.026230,2.734721,2.710581,3.059727,8.505029
