frame_id,bytes,schedule_lag_ms,read_ms,hash_ms,commit_ms,acquisition_ms
88,1977216,0.328423,0.787607,2.488908,15.260488,18.537003
89,1969840,0.345519,0.788223,2.378451,3.683374,6.850048
90,1959328,0.285802,0.788941,2.567302,8.356453,11.712696
91,1961600,0.146552,0.810559,2.139186,11.829676,14.779421
92,1967408,0.106955,0.755884,2.652409,7.057273,10.465566
93,1974320,0.046050,0.586553,1.987571,12.456511,15.030635
94,1978448,0.126216,0.917051,2.075892,6.520818,9.513761
95,1985744,0.083880,0.765177,2.327533,8.792898,11.885608
96,1992048,0.362267,0.935124,1.990468,7.797412,10.723004
97,1995264,0.349305,0.837003,3.647001,6.387536,10.871540
98,1993232,0.278552,0.813307,2.743573,6.582925,10.139805
99,1994624,0.029611,0.756245,2.456673,6.290357,9.503275
